date,region,scenario,avg_price_usd_mwh,total_demand_mwh,energy_cost_usd_mwh,congestion_cost_usd_mwh,losses_cost_usd_mwh,renewable_share_pct,curtailment_mwh,hdd,cdd,dart_spread_usd_mwh,natgas_monthly
2023-01-01,CAISO,Baseline,37.74,104092.35540576561,34.13,1.94,1.67,40.8,10233.599993305244,10.45311717296525,0.0,1.31,3.117
2023-01-02,CAISO,Baseline,32.14,86832.55012329241,29.38,1.78,0.98,41.0,19866.145389826925,12.941718389351287,0.0,-0.17,3.117
2023-01-03,CAISO,Baseline,36.78,105957.003412012,33.87,1.89,1.02,39.9,6796.571790274534,12.186087367650973,0.0,2.39,3.117
2023-01-04,CAISO,Baseline,38.39,96384.81013222548,34.63,2.3,1.46,41.1,15000.006903421201,10.429883507328022,0.0,-0.46,3.117
2023-01-05,CAISO,Baseline,35.46,92959.39027737553,31.34,2.61,1.51,40.7,28557.072797159028,10.433417961025288,0.0,1.48,3.117
2023-01-06,CAISO,Baseline,37.37,104116.48497775654,33.29,2.79,1.29,40.3,19959.851812074987,8.990515212738789,0.0,-0.48,3.117
2023-01-07,CAISO,Baseline,39.74,116372.94716883627,36.63,1.88,1.23,39.5,15063.359660358663,10.949069362540238,0.0,-1.45,3.117
2023-01-08,CAISO,Baseline,39.27,103995.01896221671,35.65,2.33,1.29,40.3,8710.52853025221,9.457383981269459,0.0,1.92,3.117
2023-01-09,CAISO,Baseline,35.38,95295.10952954457,32.67,1.93,0.78,40.7,29995.453217575192,11.4101460384949,0.0,0.12,3.117
2023-01-10,CAISO,Baseline,33.45,98997.72204936486,31.28,1.27,0.9,41.2,12566.784045007304,14.249637723623968,0.0,0.63,3.117
2023-01-11,CAISO,Baseline,40.25,107769.17935797658,36.08,2.72,1.44,40.5,20431.917457928557,10.857700548379617,0.0,-0.35,3.117
2023-01-12,CAISO,Baseline,38.38,102263.35402346995,35.16,2.13,1.09,41.0,15053.790270580119,10.271909364815137,0.0,1.19,3.117
2023-01-13,CAISO,Baseline,38.1,103521.77193800795,34.21,3.17,0.72,40.9,14134.775614909753,11.715965077711846,0.0,0.75,3.117
2023-01-14,CAISO,Baseline,39.45,110158.27993175728,36.35,2.26,0.83,41.1,11074.759231275637,11.759711368127789,0.0,1.59,3.117
2023-01-15,CAISO,Baseline,39.31,100148.36221746984,34.54,3.64,1.13,41.0,28857.371499048444,8.003097377465354,0.0,-0.18,3.117
2023-01-16,CAISO,Baseline,38.74,114416.89237945541,36.55,1.0,1.19,40.8,9351.427594781537,10.406575296866869,0.0,-0.44,3.117
2023-01-17,CAISO,Baseline,36.4,111007.02070112796,34.43,0.91,1.07,40.8,25940.094297046682,10.261322104853257,0.0,1.37,3.117
2023-01-18,CAISO,Baseline,39.4,107683.193376498,35.06,2.82,1.52,40.1,25970.783819376902,6.566668087190031,0.0,-0.4,3.117
2023-01-19,CAISO,Baseline,44.48,133092.8222242315,40.73,2.64,1.11,40.8,14493.921477070216,8.690853938509756,0.0,1.31,3.117
2023-01-20,CAISO,Baseline,34.88,93661.07820711317,32.37,1.41,1.1,40.7,8750.647247468796,10.455470842598704,0.0,2.09,3.117
2023-01-21,CAISO,Baseline,34.71,101675.85391621859,31.43,2.27,1.0,41.6,6305.554235816188,9.283377574367972,0.0,1.4,3.117
2023-01-22,CAISO,Baseline,36.75,103953.46325401326,32.29,2.88,1.58,40.4,12012.671080597222,6.244621375453873,0.0,0.93,3.117
